                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.5819,2.6151,1.7755,0.25568,0.32031,0.25018,0.25018,1.8547,2.8009,2.0367,0.00055309,0.00055309,0.00055309
2,1.612,2.3384,1.8169,0.1919,0.26228,0.27881,0.26074,2.1288,4.0702,2.231,0.0010978,0.0010978,0.0010978
3,1.6219,2.2983,1.8355,0.26586,0.28348,0.26074,0.27881,2.0685,2.6448,2.2457,0.0016315,0.0016315,0.0016315
4,1.5998,2.2408,1.8173,0.30095,0.32812,0.30336,0.30336,1.9558,2.5212,2.0714,0.0016175,0.0016175,0.0016175
5,1.5805,2.1899,1.8014,0.38322,0.41082,0.31242,0.31242,1.7911,2.3875,1.9806,0.001601,0.001601,0.001601
6,1.529,2.1094,1.7558,0.41311,0.41853,0.33532,0.33532,1.7767,2.1571,1.8813,0.0015845,0.0015845,0.0015845
7,1.5212,2.097,1.7508,0.44314,0.39732,0.33626,0.33626,1.8136,2.0947,1.9023,0.001568,0.001568,0.001568
8,1.4999,1.9994,1.7203,0.40246,0.38058,0.37347,0.35508,1.7987,2.2515,1.941,0.0015515,0.0015515,0.0015515
9,1.4894,1.9934,1.7153,0.46843,0.40983,0.3816,0.37347,1.7853,2.0354,1.8822,0.001535,0.001535,0.001535
10,1.4607,1.96,1.6999,0.40609,0.42634,0.40216,0.3816,1.7685,2.0094,1.8994,0.0015185,0.0015185,0.0015185
11,1.4557,1.9117,1.6841,0.45397,0.44359,0.41699,0.40216,1.7499,1.9107,1.8722,0.001502,0.001502,0.001502
12,1.4241,1.8563,1.68,0.48051,0.43413,0.4235,0.40861,1.7605,2.0882,1.861,0.0014855,0.0014855,0.0014855
13,1.4348,1.855,1.6675,0.435,0.45188,0.35508,0.41699,1.7336,2.036,1.8558,0.001469,0.001469,0.001469
14,1.4421,1.855,1.6832,0.49499,0.43265,0.40861,0.4235,1.6991,1.9873,1.8252,0.0014525,0.0014525,0.0014525
15,1.4083,1.8109,1.651,0.4946,0.48587,0.42878,0.42878,1.7303,1.8587,1.8584,0.001436,0.001436,0.001436
16,1.4076,1.7759,1.6486,0.44783,0.42411,0.44048,0.44048,1.7032,1.9465,1.828,0.0014195,0.0014195,0.0014195
17,1.3877,1.7759,1.641,0.46701,0.4241,0.45587,0.45587,1.7575,1.939,1.8543,0.0014029,0.0014029,0.0014029
18,1.398,1.7463,1.647,0.48487,0.43576,0.469,0.469,1.6942,1.9825,1.8348,0.0013864,0.0013864,0.0013864
19,1.3855,1.7263,1.6306,0.51654,0.46897,0.50245,0.49605,1.7117,1.8156,1.8283,0.0013699,0.0013699,0.0013699
20,1.3697,1.6996,1.6202,0.52184,0.51183,0.51399,0.50245,1.7278,1.974,1.8316,0.0013534,0.0013534,0.0013534
21,1.3785,1.7004,1.6285,0.48558,0.52977,0.49605,0.51399,1.6872,1.8235,1.8121,0.0013369,0.0013369,0.0013369
22,1.3572,1.6621,1.6095,0.54783,0.54539,0.55611,0.53157,1.7343,1.8656,1.8347,0.0013204,0.0013204,0.0013204
23,1.3425,1.6437,1.602,0.5711,0.58214,0.54896,0.54896,1.7845,1.7858,1.8838,0.0013039,0.0013039,0.0013039
24,1.3465,1.6264,1.6025,0.58701,0.57531,0.53157,0.55611,1.713,1.7866,1.824,0.0012874,0.0012874,0.0012874
25,1.3346,1.5951,1.5827,0.54241,0.57376,0.58544,0.58544,1.7013,1.8289,1.8272,0.0012709,0.0012709,0.0012709
26,1.3165,1.5707,1.5765,0.60724,0.60925,0.60605,0.60605,1.6655,1.7423,1.7885,0.0012544,0.0012544,0.0012544
27,1.3271,1.5707,1.5719,0.5824,0.62006,0.61561,0.61561,1.6933,1.7505,1.8145,0.0012379,0.0012379,0.0012379
28,1.303,1.5362,1.5644,0.62511,0.63987,0.64964,0.63255,1.6847,1.702,1.8083,0.0012214,0.0012214,0.0012214
